hero_kr,epithet_kr,faction,attr,key,skill_kr,tooltip_kr,mana,cooldown,learn_level,origin,namu_title
드러커 형제,"지능영웅으로 사정거리는 700이고 기본 공격속도는 1.7, 기본 이동속도는 300이다.",,중립 ,,연쇄폭발,인페르날 + 블리자드 기반. 선택한 지점에 시야가 없고 보이지 않는 유닛이 소환되어 소환된 지점에 블리자드를 시전한다. 블리자드의 사용횟수는 15번이며 레벨에 따라 시전시간이 0.4/0.3/0.2초로 변경된다. 건물에는 80%의 피해만 준다. 피해량은 분산되지 않는다. 사정거리 800. 효과범위 300. 재사용 대기시간 9초. 1레벨 - 효과범위 내에 20의 피해를 지속적으로 입히며 0.1초간 기절시킨다. 지속시간 6초. 마력소모 100. 2레벨 - 효과범위 내에 35의 피해를 지속적으로 입히며 0.25초간 기절시킨다. 지속시간 4.5초. 마력소모 120. 3레벨 - 효과범위 내에 50의 피해를 지속적으로 입히며 0.4초간 기절시킨다. 지속시간 3초. 마력소모 140.,,,,,드러커 형제
드러커 형제,"지능영웅으로 사정거리는 700이고 기본 공격속도는 1.7, 기본 이동속도는 300이다.",,중립 ,,폭발물 설치,"워터 엘리멘탈 기반. 고블린 지뢰 능력을 가지는 폭발물을 소환한다. 설치 후 15초에 걸쳐 투명화된다. 폭발하기 전까지 사라지지 않으며, 설치하고 3초 후부터 폭발이 가능하다. 폭발물 - 체력 220. 방어력 2(소형). 시야 500(밤낮 공통). 폭발 시 카붐!기반의 피해를 준다. 1레벨 - 폭발 시 효과범위 400에 75, 효과범위 250에 150의 피해를 주는 폭발물을 소환한다. 재사용 대기시간 12초. 마력소모 50. 2레벨 - 폭발 시 효과범위 400에 150, 효과범위 250에 300의 피해를 주는 폭발물을 소환한다. 재사용 대기시간 9초. 마력소모 70. 3레벨 - 폭발 시 효과범위 400에 225, 효과범위 250에 450의 피해를 주는 폭발물을 소환한다. 재사용 대기시간 6초. 마력소모 90. 유닛에게도 반응한다는 점 때문에 멤피스의 가시지뢰와 달리 영웅킬 용도로 쓰기는 미묘하다. 하지만 영구지속이면서 시야가 존재한다는 점 때문에 정찰용으로 쓰기에는 더할나위 없이 적합하다. 메두사의 뱀마냥 크립이 생성되지 않는 길목이나 길가, 나무 뒤와 같은 장소에 계속 설치해 주면 상대가 일일이 터뜨리지 않을 때 맵핵키고 카오스하는 기분을 느낄 수 있다.",,,,,드러커 형제
드러커 형제,"지능영웅으로 사정거리는 700이고 기본 공격속도는 1.7, 기본 이동속도는 300이다.",,중립 ,,익스플로전 오라,"패시브 기술. 언홀리 오라 기반. 주변 아군의 이동속도와 체력 회복속도를 올려주고, 드러커 형제가 공격 시 마법 대미지의 추가 피해를 준다. 단, 이 추가 피해는 물리 방어력에도 영향을 받는다. 효과범위 600. 1레벨 - 이동속도 +10%, 체력 회복속도 +1. 매 공격 시 10의 추가피해를 준다. 2레벨 - 이동속도 +15%, 체력 회복속도 +1.5. 매 공격 시 20의 추가피해를 준다. 3레벨 - 이동속도 +20%, 체력 회복속도 +2. 매 공격 시 30의 추가피해를 준다.",,,,,드러커 형제
드러커 형제,"지능영웅으로 사정거리는 700이고 기본 공격속도는 1.7, 기본 이동속도는 300이다.",,중립 ,,광폭발,"다크포탈 + 썬더클랩 기반. 선택한 지점에 시야가 없고 보이지 않는 유닛[1]이 소환되어 소환된 지점에 썬더클랩을 시전하여 적에게 300의 피해를 주고 이동속도를 50% 감소시킨다. 썬더클랩의 사용횟수는 5번이며 마법면역인 적에게는 피해를 주지 않지만, 이동속도 감소는 동일하게 적용된다. 이동속도 감소는 마지막 폭발 후에도 5초간 더 지속된다. 사정거리 800. 효과범위 700. 1레벨 - 효과범위 내 적에게 300의 피해를 5번 주며 이동속도를 감소시킨다. 재사용 대기시간 160초. 마력소모 200. 2레벨 - 효과범위 내 적에게 300의 피해를 5번 주며 이동속도를 감소시킨다. 재사용 대기시간 130초. 마력소모 250.",,,,,드러커 형제
래퍼드,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,W,백스탭,20 / 40 / 60초간 투명 상태로 변하며 이동속도가 10% / 40% / 70% 증가합니다. 적 공격시 추가 피해 150 / 200 / 250을 입히며 투명 상태가 해제됩니다. 적의 뒤에서 공격할 경우 추가 피해량 + 50 / 100 / 150의 보너스 피해를 입힘,80 / 100 / 120,5.5,1 / 3 / 5,,래퍼드
래퍼드,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,R,리얼 팬텀,"자신의 환영 분신 1개를 만들며 자신에게 적용된 모든 마법을 무효화시킵니다. 이 분신은 30초간 지속되고 본체의 60% / 80% / 100%의 능력을 지니며, 2배의 피해를 입습니다. 기술을 시전하는 0.5초간 무적 상태",80 / 95 / 110,32 / 27 / 22,1 / 3 / 5,,래퍼드
래퍼드,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,패시브,배틀 마스터리,"매 공격마다 9 / 17 / 25의 마법 피해를 입히고, 적의 공격을 5% / 10% / 15% 확률로 회피합니다. 회피는 회피 아이템과 중복 불가",-,1 / 3 / 5,,,래퍼드
래퍼드,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,T,피의 결계,800 범위 내 자신을 포함한 모든 아군을 5초간 무적 상태로 만듭니다. 채널링 상태인 유닛은 무적 효과를 받지 못함,150,165,6,,래퍼드
레오닉,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,F,스컬 워드,"주변 아군의 공격 속도와 이동 속도를 10% / 20% / 30% 증가시키고, 초당 10 / 20 / 30의 체력을 회복시키는 스컬 워드를 소환합니다. 또한 스컬 워드는 주변 적 유닛의 이동 속도를 10% / 15% / 20% 감소시키며, 초당 30 / 50 / 70의 피해를 입힙니다. 스컬 워드 스펙은 아래 참조 스컬 워드 체력 500, 마력 100, 방어력 5(대형), 유닛 타입, 지속시간 30초",70 / 75 / 80,10,1 / 4 / 7,,레오닉
레오닉,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,패시브,회심의 일격,매 공격마다 20% 확률로 2 / 3 / 4배의 피해를 입힙니다.,-,1 / 3 / 5,,,레오닉
레오닉,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,패시브,피의 기운,매 공격마다 입힌 피해의 15% / 20% / 25%만큼 체력을 회복합니다.,-,1 / 3 / 5,,,레오닉
레오닉,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,W,살육의 분신,"습득시 영구적으로 모든 속성이 6만큼 증가합니다. 사용시 자신의 환영 분신 6개를 만들며 자신에게 적용된 모든 마법을 무효화 시킵니다. 이 분신은 30초간 지속되고 본체의 50%의 능력을 지니며, 2.2배의 피해를 입습니다. 기술을 시전하는 0.5초간 무적 상태 본체가 분신과 1200 거리 이상 떨어지면 분신의 공격 속도가 100% 감소",200,135,6,,레오닉
레이나,캐릭터 모델 첨부 부탁드립니다.,센티널,히든,F,독 안개,10초간 500 범위내 지역에 독 안개를 생성합니다. 독 안개는 닿는 즉시 100 / 150 / 200의 피해를 입히고 지속시간동안 초당 15 / 25 / 35의 피해를 입힙니다. 건물 및 기계에도 적용 지속 피해로 사망하지 않음 지속 피해는 마법 면역 무시,100 / 120 / 140,10,1 / 4 / 7,원전은 제이나 프라우드무어이다.,레이나/카오스(워크래프트 3/유즈맵)
레이나,캐릭터 모델 첨부 부탁드립니다.,센티널,히든,R,마법 거울,30초간 지속되는 마법 거울을 소환합니다. 마법 거울은 1000 범위내 적 유닛이 마법을 사용할 경우 마법을 사용한 유닛과 그 주변 200 범위에 사용된 마력의 1 / 1.5 / 2배의 마법 피해를 입힙니다. 기계에도 피해 적용 여러 개가 있어도 오직 1개만 공격함 마력이 존재하지 않는 유닛에게는 효과 없음,50 / 75 / 100,20,1 / 3 / 5,원전은 제이나 프라우드무어이다.,레이나/카오스(워크래프트 3/유즈맵)
레이나,캐릭터 모델 첨부 부탁드립니다.,센티널,히든,패시브,타락의 목걸이,적의 공격을 10% / 20% / 30% 확률로 무효화 합니다. 회피는 회피 아이템 및 빛의 갑옷과 중복 가능,-,1 / 3 / 5,,원전은 제이나 프라우드무어이다.,레이나/카오스(워크래프트 3/유즈맵)
레이나,캐릭터 모델 첨부 부탁드립니다.,센티널,히든,W,지옥 보내기,적에게 즉시 600 / 1000의 피해를 입히고 3초간 기절시킵니다. 25% 확률로 적을 지옥에 보내버립니다. 마법 면역 무시,200 / 250,180 / 150,6 / 12,원전은 제이나 프라우드무어이다.,레이나/카오스(워크래프트 3/유즈맵)
레이든,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,W,은신술,20 / 40 / 60초간 투명 상태로 변하며 이동 속도가 20% / 40% / 60% 증가합니다. 적 공격시 추가 피해 100 / 200 / 300을 입히며 투명 상태가 해제됩니다.,60 / 70 / 80,5.5 / 5.5 / 5,1 / 3 / 5,,레이든/카오스(워크래프트 3/유즈맵)
레이든,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,R,분신술,"자신의 환영 분신 1개를 만들며 자신에게 적용된 모든 마법을 무효화 시킵니다. 이 분신은 30초간 지속되고 본체의 60% / 80% / 100%의 능력을 지니며, 200%의 피해를 입습니다. 기술을 시전하는 0.5초간 무적 상태",45 / 55 / 65,33 / 27 /22,1 / 3 / 5,,레이든/카오스(워크래프트 3/유즈맵)
레이든,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,C,환영 난참,"8초간 환영 1기를 내보내 주변 적 유닛의 방어력을 2 감소시키고, 10 / 14 / 18의 피해를 입히는 수리검을 초당 20 / 25 / 33발씩 발사합니다. 한 유닛에게 최대 10발 발사",65 / 70 / 75,16 / 13 / 10,1 / 5 / 9,,레이든/카오스(워크래프트 3/유즈맵)
레이든,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,E,환영술,"30초간 자신을 따라다니는 환영 4 / 6기를 소환해 800 범위내 적에게 초당 100 - 110 / 100 - 115(일반)의 피해를 입히고, 200 범위에 70%의 방사 피해를 입힙니다. 환영은 매 공격마다 (자신의 레벨 - 6) X 4의 추가 물리 피해를 입힘 사용시 환영 폭발이 활성화됨 F - 환영 폭발 적에게 환영 1기를 자폭시켜 200 / 300의 피해를 입힙니다. 마력 30 / 50 소모, 재사용 대기시간 3초 건물 및 기계에는 50%의 피해를 입힘",120 / 150,150,6 / 12,,레이든/카오스(워크래프트 3/유즈맵)
레이디 데스,레이스 퀸,스콜지,지능,D,죽음의 냉기,"대상에게 60 / 110 / 160의 피해를 입히고 대상을 포함한 200 / 250 / 300 범위내 적들에게 80 / 150 / 220의 냉기 피해를 입힙니다. 냉기 피해를 받은 유닛은 3초간 공격 속도를 20%, 이동 속도를 30%만큼 감소시킵니다.",70 / 80 / 90,7 / 8 / 9,1 / 4 / 7,,레이디 데스
레이디 데스,레이스 퀸,스콜지,지능,C,고통의 비명,자신 주변 850 범위 내 적 유닛에게 150 / 250 / 350의 피해를 입히고 5초간 공격 속도와 이동 속도를 50% 감소시킵니다.,70 / 80 / 90,9,1 / 4 / 8,,레이디 데스
레이디 데스,레이스 퀸,스콜지,지능,E,고통의 희열,습득시 영구적으로 입는 피해의 10%만큼 체력과 마력을 회복합니다. 사용시 25초간 회복량이 20% / 25% / 30%로 증가합니다.,50 / 60 / 70,40,1 / 3 / 5,,레이디 데스
레이디 데스,레이스 퀸,스콜지,지능,W,레이스 스웜,30초간 자신을 따라다니는 레이스 20 / 30기를 소환해 1000 범위내 적에게 초당 50 - 55(카오스)의 피해를 입히고 입힌 피해의 65%만큼 자신의 체력을 회복합니다. 적 1기당 최대 10 / 15기의 레이스가 동시에 공격 가능,150 / 200,150,6 / 12,,레이디 데스
로자미어,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,E,교란 이동,"자신 주변 300 / 400 / 500 범위내 적 유닛을 1초간 공포 상태로 만들고, 5초간 자신의 이동 속도가 500 / 550 / 600으로 변경됩니다. 지속시간동안 모든 이동 속도 감소 효과 면역",70 / 85 / 90,20,1 / 4 / 7,,로자미어/카오스(워크래프트 3/유즈맵)
로자미어,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,T,암흑 나방,직선으로 암흑 나방을 날려 100 / 200 / 300의 피해를 입히고 3초후부터 4초간 시야를 1300 / 1450 / 1600만큼 감소시킵니다. 밤 시야는 300 / 450 / 600만큼 감소시킴 시야 감소는 영웅에게만 적용 맞은 영웅은 아군의 시야를 공유받지 못함 시야 감소는 마법 면역 무시,70 / 80 / 90,13,1 / 3 / 5,,로자미어/카오스(워크래프트 3/유즈맵)
로자미어,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,R,독 나방 공격,"매 공격마다 20 / 35 / 50 / 65의 추가 피해를 입히고, 200 범위에 방사 피해를 입힙니다. 또한 25% 확률로 10초간 초당 20 / 35 / 50 / 65의 피해를 입히는 독을 묻힙니다. 독이 묻은 유닛이 사망시 체력이 10 / 20 / 30 / 40만큼, 마력이 5 / 10 / 15 / 20만큼 회복됨 오브 기반",2 / 4 / 6 / 8,-,2 / 5 / 8 / 11,,로자미어/카오스(워크래프트 3/유즈맵)
로자미어,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,W,나방의 등불,해당 위치에 나방을 끌어모으는 등불을 설치합니다. 등불은 5초간 600 거리의 무작위 위치에서 0.2초마다 80 / 120의 피해를 입히는 나방 2마리를 소환해 끌어모읍니다. 건물 및 기계에는 40%의 피해를 입힘 영웅과 건물에게는 최대 피해량 750 / 1100,150 / 200,135,6 / 12,,로자미어/카오스(워크래프트 3/유즈맵)
로칸,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,C,워터 매그넘,최대 적 2 / 3 / 4기에게 튕기는 마법의 물총[1]을 발사해 180 / 290 / 400의 피해를 입힙니다. 다음 목표물로 넘어갈 때마다 피해량 0% / 5% / 10% 감소,100 / 115 / 130,9,1 / 4 / 8,원전은 로칸이다.,로칸/카오스(워크래프트 3/유즈맵)
로칸,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,E,헤이스트,"60초간 공격 속도를 40% / 70% / 100%, 이동 속도를 20% / 30% / 40% 증가시키며, 매 공격마다 적의 현재 체력의 2%만큼의 추가 피해를 입힙니다.",60 / 70 / 80,45,1 / 3 / 5,원전은 로칸이다.,로칸/카오스(워크래프트 3/유즈맵)
로칸,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,T,로칸 워드,"사용 즉시 범위내 아군 영웅의 체력을 100 / 150 / 200 회복시킵니다. 또한 지속시간동안 550 범위내 아군 유닛의 방어력을 2 / 3 / 4 증가시키며, 초당 최대 체력의 1% / 2% / 3%를 회복시키는 로칸 워드를 소환합니다. 로칸 워드 스펙은 아래 참조 로칸 워드 체력 300 / 400 / 500, 방어력 2 / 3 / 4(대형), 워드 타입, 지속시간 12초",100 / 125 / 150,28,2 / 5 / 8,원전은 로칸이다.,로칸/카오스(워크래프트 3/유즈맵)
로칸,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,W,포세이돈의 분노,"포세이돈의 분노 워드 8 / 12 / 16기를 소환합니다. 포세이돈의 분노 워드 스펙은 아래 참조 포세이돈의 분노 체력 600 / 725 / 850, 공격력 55 - 55(관통→영웅), 사정거리 600 / 650 / 700, 방어력 1 / 3 / 5(대형), 공격 속도 0.85, 워드 타입, 지속시간 30초 3레벨에는 공격 타입이 영웅으로 변경",150 / 200 / 250,165,6 / 12 / 18,원전은 로칸이다.,로칸/카오스(워크래프트 3/유즈맵)
루시퍼,둠 브링거,스콜지,지능,F,방화(incinerate),불기둥 하나를 소환해 닿은 대상에게 즉시 50 / 100 / 150의 피해를 입히고 8초간 초당 20 / 33 / 46의 추가 피해를 입힙니다.,80 / 100 / 120,12 / 11 / 10,1 / 4 / 5,,루시퍼/카오스(워크래프트 3/유즈맵)
루시퍼,둠 브링거,스콜지,지능,B,텔레포트,"아군의 유닛이나 건물이 있는 곳으로 이동합니다. 시전 대기시간 3초, 채널링 기술 대상이 된 유닛이나 건물은 시전 대기시간동안 행동불가",40 / 50 / 60,22 / 17 / 12,1 / 3 / 5,,루시퍼/카오스(워크래프트 3/유즈맵)
루시퍼,둠 브링거,스콜지,지능,E,생명의 물결,최대 아군 3 / 4 / 5기에게 이동하는 생명의 물결을 내보내 체력을 110 / 210 / 310 회복시킵니다. 다음 대상으로 넘어갈 때마다 회복량 4% / 5% / 6% 감소 둠 가드를 대상으로 할 경우 추가로 100의 체력을 회복,80 / 100 / 120,9,1 / 3 / 5,,루시퍼/카오스(워크래프트 3/유즈맵)
루시퍼,둠 브링거,스콜지,지능,D,파멸,"대상을 즉사시키고 둠 가드를 소환합니다. 영웅 및 궁극기급 소환물에게 사용 불가 아군을 대상으로도 사용 가능 3레벨에는 땅을 클릭해 대상 없이 자신의 바로 앞에 소환 가능 둠 가드 스펙은 아래 참조 둠 가드 / 강화된 둠 가드 체력 2350 / 2850, 체력 회복 속도 0.5, 마력 900 / 1200, 마력 회복 속도 4, 지상 공격력 101 - 108 / 121 - 128(카오스), 지상 사정거리 근접, 공중 공격력 91 - 93 / 111 - 113(카오스), 공중 사정거리 600, 방어력 10 / 15(대형), 공격 속도 1.0, 이동 속도 380 / 420, 지속시간 75 / 80 / 85초 2레벨부터 강화되고 3레벨에는 지속시간만 증가 D - 디스펠 매직 600 범위내 모든 마법을 해제합니다. 마력 75 소모, 재사용 대기시간 8초 적 소환물에게 200의 피해를 입힘 T - 워 스톰프 땅을 내려쳐 350 범위내 적에게 250의 피해를 입히고 3초간 기절시킵니다. 마력 90 소모, 재사용 대기시간 9초 C - 크리플 10초간 대상의 공격력을 50%, 공격 속도를 50%, 이동 속도를 75% 감소시킵니다. 마력 90 소모, 재사용 대기시간 15초 F - 지옥의 화염비 0.5초마다 35의 피해를 입히는 화염비를 20번 떨어뜨립니다. 마력 125 소모, 재사용 대기시간 8초 채널링 기술 생명의 탑을 제외한 건물에는 50%의 피해를 입힘 패시브 - 리지스턴트 스킨 적군의 마법이 지속되는 시간을 줄여주고 특정 마법에 대한 면역을 제공합니다.",150 / 200 / 250,150,6 / 12 / 18,,루시퍼/카오스(워크래프트 3/유즈맵)
리키안,워크래프트3 유즈맵 CHAOS의 스콜지 일반 영웅.,스콜지,민첩,E,늑대 울음,350 범위내 적 유닛에게 100 / 200 / 300의 피해를 입히고 3초간 공격과 마법을 사용할 수 없게 만듭니다. 디스펠로 해제 가능,60 / 70 / 80,12,1 / 3 / 5,,리키안
리키안,워크래프트3 유즈맵 CHAOS의 스콜지 일반 영웅.,스콜지,민첩,G,늑대의 저주,적 유닛에게 걸린 모든 마법을 해제하고 1 / 2 / 3초간 이동할 수 없게 만듭니다. 또한 이동 속도를 0으로 만들며 이동 속도는 3 / 4 / 5초에 걸쳐 서서히 회복됩니다. 적 소환물에게 100 / 200 / 300의 피해를 입힘,60 / 70 / 80,21 / 18 / 15,1 / 3 / 5,,리키안
리키안,워크래프트3 유즈맵 CHAOS의 스콜지 일반 영웅.,스콜지,민첩,패시브,야수의 생명력,자신과 주변 800 범위내 아군의 체력 회복 속도를 3 / 5 / 7만큼 증가시킵니다.,-,1 / 2 / 4,,,리키안
리키안,워크래프트3 유즈맵 CHAOS의 스콜지 일반 영웅.,스콜지,민첩,W,야수화,"해당 위치로 이동하는 동시에 야수 형태로 변신합니다. 야수 형태 스펙은 아래 참조 야수 형태 체력이 325, 체력 회복 속도가 5, 공격력이 17, 방어력이 5 증가하며, 사정거리가 근접, 기본 공격 속도가 1.3, 충돌 크기가 중대형으로 변경됩니다. 늑대 울음, 늑대의 저주 사용 불가 늑대의 격노 사용 가능 패시브 - 강력한 치명타 매 공격마다 55% 확률로 1.8배의 피해를 입힙니다. 패시브 - 뱀파이어릭 오라 자신과 주변 600 범위내 아군 근접 유닛이 공격할 때마다 입힌 피해의 20%만큼 체력을 회복합니다. F - 늑대의 격노 사용시 12초간 공격 속도가 100%, 이동 속도가 50%, 강력한 치명타 배수가 0.7만큼 증가합니다. 재사용 대기시간 60초 사용시 기습 공격이 활성화됨 F - 기습 공격 즉시 해당 적 유닛의 위치로 이동합니다. 사정거리 700. 재사용 대기시간 2초 W - 인간화 마력 50을 소모해 인간 형태로 변신합니다. 재사용 대기시간 6초",50,6,,,리키안
마누트,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,T,나무 기생혼,"50초간 나무에 기생혼을 심어 300 / 500 / 700의 시야를 확보합니다. 기생혼은 주변 적 영웅에게 자동으로 달라붙어 8초간 시야를 공유하고, 10초가 되기 전에 시야 공유가 해제될 경우 150 / 250 / 350의 피해와 2초간 공격 속도와 이동 속도를 15% / 25% / 35% 감소시킵니다. 마법 면역인 영웅에게는 달라붙지 않음 디스펠로 시야 공유 해제 가능 피해와 공격 속도, 이동 속도 감소는 마법 면역 무시",95 / 110 / 125,20,2 / 5 / 8,,마누트/카오스(워크래프트 3/유즈맵)
마누트,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,E,나무 동화,E - 나무 동화 상태로 변형 사용시 마력 10 / 15 / 20을 소모해 5초간 나무 동화가 활성화됩니다. 나무 동화를 사용하지 않을 경우 원래대로 돌아옵니다. E - 나무 동화 5 / 10 / 15초간 나무 안으로 숨어 무적과 투명 상태가 되지만 이동할 수 없습니다. 숨은 나무가 파괴되면 무적과 투명 상태가 해제됩니다. 사용시 2초후에 나무 이동이 활성화됨 사용 즉시 나무 동화 해제가 활성화됨 E - 나무 이동 마력 20을 소모해 850 범위내 다른 나무로 이동합니다. 재사용 대기시간 5초 D - 나무 동화 해제 마력 25를 소모해 즉시 해당 나무를 파괴하고 나무 동화를 해제합니다.,30 / 40 / 50,25,1 / 3 / 5,,마누트/카오스(워크래프트 3/유즈맵)
마누트,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,F,나무의 혼령,"20초간 공격 속도가 20% / 30% / 40% / 50% 증가하며, 매 공격마다 20% 확률로 마력 10 / 20 / 30 / 40을 소모해 50 + 지능 X 0.5 / 1 / 1.5 / 2의 추가 피해를 입힙니다. 디스펠로 해제 가능",40 / 50 / 60 / 70,4,1 / 4 / 7 / 10,,마누트/카오스(워크래프트 3/유즈맵)
마누트,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,패시브,무형의 공격,"영구적으로 지능이 15 / 30 증가하고, 사정거리가 150 / 250 증가하며, 공격 미사일이 투명해집니다.",-,5 / 10,,,마누트/카오스(워크래프트 3/유즈맵)
마이에브,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,F,마이에브 나이프,칼날을 던져 800 범위내 적 유닛에게 100 / 200 / 300의 피해를 입힙니다.,80 / 85 / 90,9,1 / 3 / 5,원전은 마이에브 섀도송이다.,마이에브/카오스(워크래프트 3/유즈맵)
마이에브,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,B,깃털,최대 400 / 550 / 700 거리만큼 순간이동합니다. 미사일 형태의 기술 흡수 가능 탐험되지 않은 지역으로 이동 불가,20 / 30 / 40,8,1 / 3 / 5,원전은 마이에브 섀도송이다.,마이에브/카오스(워크래프트 3/유즈맵)
마이에브,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,패시브,마이에브 닷지,"적의 공격을 5% / 10% / 15% 확률로 회피하며, 매 공격마다 20% 확률로 2 / 2.5 / 3배의 피해를 입힙니다. 회피는 회피 아이템과 중복 불가",-,1 / 3 / 5,,원전은 마이에브 섀도송이다.,마이에브/카오스(워크래프트 3/유즈맵)
마이에브,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,V,폭주,"25초간 체력이 500, 공격력이 60, 방어력이 5만큼 증가하며 마법에 면역이 됩니다.",150,6,,원전은 마이에브 섀도송이다.,마이에브/카오스(워크래프트 3/유즈맵)
마젠다,여도적,센티널,민첩,T,시프 트랩,"트랩을 설치합니다. 트랩은 주변 250 범위내 적 유닛이 있으면 폭발하여 400 범위내 적 유닛과 건물에 100 / 200 / 300의 마법 피해를 입히고, 1 / 1.5 / 2초간 기절시킵니다. 마젠다가 트랩을 공격하면 즉시 폭발합니다.[1] 건물 및 기계에는 기절은 적용되지 않음 사용후 1.5초내에 적 영웅이 범위 내에 있을 경우 바로 폭발 트랩 스펙은 아래 참조 트랩 체력 300 / 450 / 600, 방어력 0, 워드 타입, 지속시간 90초",70 / 85 / 100,15,1 / 4 / 7,,마젠다
마젠다,여도적,센티널,민첩,G,강탈,적의 뒤로 이동하며 0.1초간 기절시킵니다. 대상이 영웅일 경우 40 / 70 / 100 + 적 영웅 레벨 X 5 만큼의 골드를 훔쳐옵니다. (최대 100 / 150 / 200 강탈),75 / 90 / 105,20,1 / 4 / 7,,마젠다
마젠다,여도적,센티널,민첩,패시브,출혈,"영구적으로 공격력이 20 / 30 / 40 증가하며, 매 공격마다 30% 확률로 출혈을 발생시킵니다. 출혈에 걸린 대상은 12초간 초당 15 / 30 / 45의 피해를 입고, 이동 속도가 25% 감소합니다. 오브 기반 이동 속도 감소는 마법 면역 무시",-,1 / 4 / 7,,,마젠다
마젠다,여도적,센티널,민첩,W,암살,"20초간 해제되지 않는 투명[4]상태가 되며, 공격 속도 150%와 이동 속도 100% / 150%가 증가합니다. 또한 지속시간동안 입는 마법 피해가 8% / 13% 감소합니다. 암살 2레벨 사용시 지속시간동안 최대 이동 속도 500 습득시 영구적으로 기민함 활성화됨 패시브 - 기민함 이동 속도가 30% / 50% 증가합니다.",100 / 150,75,6 / 12,,마젠다
멀머던,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,T,가시 촉수 소환,"가시 촉수 2 / 3 / 4기를 소환합니다. 가시 촉수 스펙은 아래 참조 가시 촉수 체력 350, 공격력 33 - 34(일반), 사정거리 200, 방어력 5(대형), 공격 속도 0.8, 워드 타입, 지속시간 40초",60 / 80 / 100,9 / 10 / 11,1 / 4 / 7,,멀머던
멀머던,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,R,기생충,"적 유닛에게 기생충을 심어 12초간 초당 15 / 25 / 35의 피해를 입히고, 공격 속도를 30%만큼, 이동 속도를 40%만큼 감소시킵니다. 지속시간내에 대상이 사망하면 슬러쥐 미니언이 1 / 2 / 3기 태어납니다. 슬러쥐 미니언 스펙은 아래 참조 적중된 이후에는 마법 면역 무시 슬러쥐 미니언 체력 500, 마력 200, 공격력 19 - 20(카오스), 사정거리 근접, 방어력 5(중형), 공격 속도 0.7, 이동 속도 350, 지속시간 80초 패시브 - 추가 대미지 적 영웅을 공격할 경우 매 공격마다 20의 추가 피해를 입힙니다.",75 / 80 / 95,13,1 / 3 / 5,,멀머던
멀머던,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,E,습지,"12초간 범위 1000의 습지를 해당 위치에 생성합니다. 습지는 자신과 자신의 모든 소환물의 체력을 초당 20 / 35 / 60 + 최대 체력의 2%만큼 회복시키고, 공격 속도를 10% / 17% / 25%만큼, 이동 속도를 20% / 35% / 50%만큼 증가시킵니다. 사용시 텀프가 활성화됨 패시브 - 텀프 40% / 55% / 70% 확률로 대상과 주변 유닛에게 30 / 50 / 70의 추가 피해를 입힙니다.",80 / 90 / 100,40,1 / 4 / 7,,멀머던
멀머던,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,W,망각의 괴물 소환,"해당 위치에 망각의 괴물을 소환합니다. 망각의 괴물 스펙은 아래 참조 망각의 괴물 체력 1200, 방어력 20(영웅), 지속시간 15초 600 범위내에 선택할 수 없는 공격력 15 / 20 (영웅)의 작은 촉수들을 무수히 소환, 매 공격마다 50% 확률로 150 범위내 적 유닛에게 35 / 50의 마법 피해를 입힘 F - 촉수 감옥 1.5 / 2초간 600 범위내 최대 적 유닛 4기를 가두는 가시 촉수를 소환합니다. 가시 촉수 체력 350, 공격력 20 - 20 / 30 - 30(일반), 사정거리 200, 방어력 5(대형) 유닛 1기당 촉수 4기 소환 패시브 - 마법 면역 마법에 면역이 됩니다.",200 / 250,150,6 / 12,,멀머던
